% Usage, time(24h)
data: 60755968,2022-06-02 22:26:31.502204
data: 60755968,2022-06-02 22:26:32.010599
data: 60755968,2022-06-02 22:26:32.518881
data: 60755968,2022-06-02 22:26:33.027027
data: 60755968,2022-06-02 22:26:33.535048
data: 60755968,2022-06-02 22:26:34.043069
data: 60755968,2022-06-02 22:26:34.551027
data: 60755968,2022-06-02 22:26:35.057842
data: 60755968,2022-06-02 22:26:35.566068
data: 60755968,2022-06-02 22:26:36.073970
data: 60755968,2022-06-02 22:26:36.581925
data: 60755968,2022-06-02 22:26:37.090237
data: 60755968,2022-06-02 22:26:37.598536
data: 60755968,2022-06-02 22:26:38.106698
data: 60755968,2022-06-02 22:26:38.615489
data: 60755968,2022-06-02 22:26:39.123788
data: 60755968,2022-06-02 22:26:39.631937
data: 60755968,2022-06-02 22:26:40.135756
data: 60755968,2022-06-02 22:26:40.644293
data: 60755968,2022-06-02 22:26:41.152748
data: 60755968,2022-06-02 22:26:41.661870
data: 60755968,2022-06-02 22:26:42.170109
data: 60755968,2022-06-02 22:26:42.678051
data: 60755968,2022-06-02 22:26:43.186087
data: 60755968,2022-06-02 22:26:43.693981
data: 60755968,2022-06-02 22:26:44.202097
data: 60755968,2022-06-02 22:26:44.710152
data: 60755968,2022-06-02 22:26:45.218537
data: 60755968,2022-06-02 22:26:45.726857
data: 60755968,2022-06-02 22:26:46.235116
data: 60755968,2022-06-02 22:26:46.743097
data: 60755968,2022-06-02 22:26:47.251392
data: 60755968,2022-06-02 22:26:47.759440
data: 60755968,2022-06-02 22:26:48.267551
data: 60755968,2022-06-02 22:26:48.771501
data: 60755968,2022-06-02 22:26:49.279311
data: 60755968,2022-06-02 22:26:49.785112
data: 60755968,2022-06-02 22:26:50.293049
data: 60755968,2022-06-02 22:26:50.811439
data: 60755968,2022-06-02 22:26:51.320704
data: 60755968,2022-06-02 22:26:51.830099
data: 60755968,2022-06-02 22:26:52.339524
data: 60755968,2022-06-02 22:26:52.848864
data: 60755968,2022-06-02 22:26:53.358315
data: 60755968,2022-06-02 22:26:53.867451
data: 60755968,2022-06-02 22:26:54.376844
data: 60755968,2022-06-02 22:26:54.886191
data: 60755968,2022-06-02 22:26:55.395631
data: 60755968,2022-06-02 22:26:55.904707
data: 60755968,2022-06-02 22:26:56.413781
data: 60755968,2022-06-02 22:26:56.923419
data: 60755968,2022-06-02 22:26:57.432734
data: 60755968,2022-06-02 22:26:57.941907
data: 60755968,2022-06-02 22:26:58.451139
data: 60755968,2022-06-02 22:26:58.959959
data: 60755968,2022-06-02 22:26:59.470774
