% Usage, time(24h)
data:,2022-06-07 10:54:51.678638
data:,2022-06-07 10:54:52.178513
data:,2022-06-07 10:54:52.678547
data:,2022-06-07 10:54:53.178537
data:,2022-06-07 10:54:53.678419
data:,2022-06-07 10:54:54.178186
data:,2022-06-07 10:54:54.678535
data:,2022-06-07 10:54:55.178421
data:,2022-06-07 10:54:55.678475
data:,2022-06-07 10:54:56.178520
data:,2022-06-07 10:54:56.678307
data:,2022-06-07 10:54:57.178602
data:,2022-06-07 10:54:57.678106
data:,2022-06-07 10:54:58.178348
data:,2022-06-07 10:54:58.678301
data:,2022-06-07 10:54:59.178201
data:,2022-06-07 10:54:59.678159
data:,2022-06-07 10:55:00.178371
data:,2022-06-07 10:55:00.678297
data:,2022-06-07 10:55:01.178095
data:,2022-06-07 10:55:01.678559
data:,2022-06-07 10:55:02.178105
data:,2022-06-07 10:55:02.678526
data:,2022-06-07 10:55:03.178558
data:,2022-06-07 10:55:03.678091
data:,2022-06-07 10:55:04.178109
data:,2022-06-07 10:55:04.678389
data:,2022-06-07 10:55:05.178479
data:,2022-06-07 10:55:05.678546
data:,2022-06-07 10:55:06.178151
data:,2022-06-07 10:55:06.678578
data:,2022-06-07 10:55:07.178521
data:,2022-06-07 10:55:07.678437
data:,2022-06-07 10:55:08.178409
data:,2022-06-07 10:55:08.678274
data:,2022-06-07 10:55:09.178283
data:,2022-06-07 10:55:09.678166
data:,2022-06-07 10:55:10.178524
data:,2022-06-07 10:55:10.678299
data:,2022-06-07 10:55:11.178582
