% Usage, time(24h)
data: 63315968,2022-06-02 22:26:14.768502
data: 63356928,2022-06-02 22:26:15.271867
data: 63356928,2022-06-02 22:26:15.778384
data: 63356928,2022-06-02 22:26:16.285101
data: 63356928,2022-06-02 22:26:16.792094
data: 63356928,2022-06-02 22:26:17.299079
data: 63356928,2022-06-02 22:26:17.805924
data: 63356928,2022-06-02 22:26:18.312686
data: 63356928,2022-06-02 22:26:18.819745
data: 63356928,2022-06-02 22:26:19.326722
data: 63356928,2022-06-02 22:26:19.833806
data: 63356928,2022-06-02 22:26:20.340866
data: 63356928,2022-06-02 22:26:20.847871
data: 63356928,2022-06-02 22:26:21.354815
data: 63356928,2022-06-02 22:26:21.861745
data: 63356928,2022-06-02 22:26:22.368793
data: 63356928,2022-06-02 22:26:22.875791
data: 63356928,2022-06-02 22:26:23.382960
data: 63356928,2022-06-02 22:26:23.890050
data: 63356928,2022-06-02 22:26:24.397046
data: 63356928,2022-06-02 22:26:24.904159
data: 63356928,2022-06-02 22:26:25.411607
data: 63356928,2022-06-02 22:26:25.918769
data: 63356928,2022-06-02 22:26:26.425868
data: 63356928,2022-06-02 22:26:26.932830
data: 63356928,2022-06-02 22:26:27.439956
data: 63356928,2022-06-02 22:26:27.947120
data: 63356928,2022-06-02 22:26:28.454230
data: 63356928,2022-06-02 22:26:28.961453
data: 63356928,2022-06-02 22:26:29.468571
data: 63356928,2022-06-02 22:26:29.975611
data: 63356928,2022-06-02 22:26:30.482604
data: 63356928,2022-06-02 22:26:30.985938
data: 63356928,2022-06-02 22:26:31.501418
data: 63356928,2022-06-02 22:26:32.009693
data: 63356928,2022-06-02 22:26:32.518096
data: 63356928,2022-06-02 22:26:33.026238
data: 63356928,2022-06-02 22:26:33.534271
data: 63356928,2022-06-02 22:26:34.042286
data: 63356928,2022-06-02 22:26:34.550250
data: 63356928,2022-06-02 22:26:35.057577
data: 63356928,2022-06-02 22:26:35.565283
data: 63356928,2022-06-02 22:26:36.073493
data: 63356928,2022-06-02 22:26:36.581136
data: 63356928,2022-06-02 22:26:37.089442
data: 63356928,2022-06-02 22:26:37.597735
data: 63356928,2022-06-02 22:26:38.105926
data: 63356928,2022-06-02 22:26:38.614600
data: 63356928,2022-06-02 22:26:39.123020
data: 63356928,2022-06-02 22:26:39.631150
data: 63356928,2022-06-02 22:26:40.135520
data: 63356928,2022-06-02 22:26:40.643513
data: 63356928,2022-06-02 22:26:41.151950
data: 63356928,2022-06-02 22:26:41.661071
data: 63356928,2022-06-02 22:26:42.169238
data: 63356928,2022-06-02 22:26:42.677493
data: 63356928,2022-06-02 22:26:43.185272
data: 63356928,2022-06-02 22:26:43.693158
data: 63356928,2022-06-02 22:26:44.201318
data: 63356928,2022-06-02 22:26:44.709370
data: 63356928,2022-06-02 22:26:45.217665
data: 63356928,2022-06-02 22:26:45.726076
data: 63356928,2022-06-02 22:26:46.234335
data: 63356928,2022-06-02 22:26:46.742282
data: 63356928,2022-06-02 22:26:47.250626
data: 63356928,2022-06-02 22:26:47.758664
data: 63356928,2022-06-02 22:26:48.266771
data: 63356928,2022-06-02 22:26:48.771278
data: 63356928,2022-06-02 22:26:49.278538
data: 63356928,2022-06-02 22:26:49.784621
data: 63356928,2022-06-02 22:26:50.292245
data: 63356928,2022-06-02 22:26:50.810685
data: 63356928,2022-06-02 22:26:51.319962
data: 63356928,2022-06-02 22:26:51.829355
data: 63356928,2022-06-02 22:26:52.338792
data: 63356928,2022-06-02 22:26:52.848120
data: 63356928,2022-06-02 22:26:53.357565
data: 63356928,2022-06-02 22:26:53.866720
data: 63356928,2022-06-02 22:26:54.376094
data: 63356928,2022-06-02 22:26:54.885447
data: 63356928,2022-06-02 22:26:55.394814
data: 63356928,2022-06-02 22:26:55.903973
data: 63356928,2022-06-02 22:26:56.413024
data: 63356928,2022-06-02 22:26:56.922623
data: 63356928,2022-06-02 22:26:57.431980
data: 63356928,2022-06-02 22:26:57.941166
data: 63356928,2022-06-02 22:26:58.450382
data: 63356928,2022-06-02 22:26:58.959207
data: 63356928,2022-06-02 22:26:59.470563
data: 63356928,2022-06-02 22:26:59.975300
data: 63356928,2022-06-02 22:27:00.484403
data: 63356928,2022-06-02 22:27:00.990975
data: 63356928,2022-06-02 22:27:01.498278
data: 63356928,2022-06-02 22:27:02.002467
data: 63356928,2022-06-02 22:27:02.509126
data: 63356928,2022-06-02 22:27:03.016413
data: 63356928,2022-06-02 22:27:03.523395
data: 63356928,2022-06-02 22:27:04.030482
data: 63356928,2022-06-02 22:27:04.537285
data: 63356928,2022-06-02 22:27:05.045819
data: 63356928,2022-06-02 22:27:05.552845
data: 63356928,2022-06-02 22:27:06.059982
data: 63356928,2022-06-02 22:27:06.566786
data: 63356928,2022-06-02 22:27:07.074635
data: 63356928,2022-06-02 22:27:07.581885
data: 63356928,2022-06-02 22:27:08.089115
