% Usage, time(24h)
 0.0,2022-06-07 12:56:08.358123
 46.0,2022-06-07 12:56:08.858510
 36.0,2022-06-07 12:56:09.358399
 36.0,2022-06-07 12:56:09.858358
 30.0,2022-06-07 12:56:10.358514
 28.0,2022-06-07 12:56:10.858546
 28.0,2022-06-07 12:56:11.358809
 34.0,2022-06-07 12:56:11.858584
 28.0,2022-06-07 12:56:12.358912
 34.0,2022-06-07 12:56:12.858531
 28.0,2022-06-07 12:56:13.358847
 28.0,2022-06-07 12:56:13.858506
 30.0,2022-06-07 12:56:14.358564
 22.0,2022-06-07 12:56:14.858599
 20.0,2022-06-07 12:56:15.358569
 28.0,2022-06-07 12:56:15.858513
 36.0,2022-06-07 12:56:16.358530
 46.0,2022-06-07 12:56:16.858548
 50.0,2022-06-07 12:56:17.358500
 46.6,2022-06-07 12:56:17.873044
 47.4,2022-06-07 12:56:18.358477
 44.0,2022-06-07 12:56:18.858517
 42.0,2022-06-07 12:56:19.358520
 40.0,2022-06-07 12:56:19.858592
 40.0,2022-06-07 12:56:20.358626
 40.0,2022-06-07 12:56:20.858546
 42.0,2022-06-07 12:56:21.358541
 40.0,2022-06-07 12:56:21.858544
 50.0,2022-06-07 12:56:22.358552
 44.0,2022-06-07 12:56:22.858575
 48.0,2022-06-07 12:56:23.358396
 46.0,2022-06-07 12:56:23.858530
 48.0,2022-06-07 12:56:24.358511
 64.0,2022-06-07 12:56:24.858200
 46.0,2022-06-07 12:56:25.358516
 48.0,2022-06-07 12:56:25.858600
 46.0,2022-06-07 12:56:26.358531
 48.0,2022-06-07 12:56:26.858523
 48.0,2022-06-07 12:56:27.358518
 50.4,2022-06-07 12:56:27.874663
 35.1,2022-06-07 12:56:28.358653
 52.0,2022-06-07 12:56:28.858482
 48.0,2022-06-07 12:56:29.358501
 52.0,2022-06-07 12:56:29.858380
 52.0,2022-06-07 12:56:30.358605
 40.0,2022-06-07 12:56:30.858443
 56.0,2022-06-07 12:56:31.358474
 50.0,2022-06-07 12:56:31.858463
 50.0,2022-06-07 12:56:32.358461
 50.0,2022-06-07 12:56:32.858632
 44.0,2022-06-07 12:56:33.358512
 48.0,2022-06-07 12:56:33.858559
 50.0,2022-06-07 12:56:34.358508
 56.0,2022-06-07 12:56:34.858418
 52.0,2022-06-07 12:56:35.358435
 48.0,2022-06-07 12:56:35.858638
 54.0,2022-06-07 12:56:36.358512
 66.0,2022-06-07 12:56:36.858300
 52.0,2022-06-07 12:56:37.358527
 48.7,2022-06-07 12:56:37.872229
 37.0,2022-06-07 12:56:38.358282
 48.0,2022-06-07 12:56:38.858545
 46.0,2022-06-07 12:56:39.358521
 50.0,2022-06-07 12:56:39.858580
 62.0,2022-06-07 12:56:40.358330
 48.0,2022-06-07 12:56:40.858326
 48.0,2022-06-07 12:56:41.358649
 46.0,2022-06-07 12:56:41.858974
 48.1,2022-06-07 12:56:42.358388
 46.0,2022-06-07 12:56:42.858544
 48.0,2022-06-07 12:56:43.358609
 50.0,2022-06-07 12:56:43.858509
 50.0,2022-06-07 12:56:44.358865
 52.0,2022-06-07 12:56:44.858571
 58.0,2022-06-07 12:56:45.358354
 48.0,2022-06-07 12:56:45.858503
 54.0,2022-06-07 12:56:46.358397
 52.0,2022-06-07 12:56:46.858408
 48.0,2022-06-07 12:56:47.358549
 60.9,2022-06-07 12:56:47.883690
 46.3,2022-06-07 12:56:48.358579
 60.0,2022-06-07 12:56:48.858553
 60.0,2022-06-07 12:56:49.358572
 46.0,2022-06-07 12:56:49.858408
 56.0,2022-06-07 12:56:50.358785
 48.0,2022-06-07 12:56:50.858523
 52.0,2022-06-07 12:56:51.358373
 58.0,2022-06-07 12:56:51.858536
 62.0,2022-06-07 12:56:52.358496
 62.0,2022-06-07 12:56:52.858818
 48.0,2022-06-07 12:56:53.358827
 56.1,2022-06-07 12:56:53.858221
 60.0,2022-06-07 12:56:54.358479
 40.0,2022-06-07 12:56:54.858686
 64.0,2022-06-07 12:56:55.358331
 58.0,2022-06-07 12:56:55.858442
 60.0,2022-06-07 12:56:56.358643
 56.0,2022-06-07 12:56:56.858414
 54.0,2022-06-07 12:56:57.358595
 58.0,2022-06-07 12:56:57.858498
 52.0,2022-06-07 12:56:58.358299
 54.0,2022-06-07 12:56:58.858527
 60.0,2022-06-07 12:56:59.358325
 56.0,2022-06-07 12:56:59.858555
 62.0,2022-06-07 12:57:00.358332
 58.0,2022-06-07 12:57:00.858535
 58.0,2022-06-07 12:57:01.358330
 52.0,2022-06-07 12:57:01.858517
 60.0,2022-06-07 12:57:02.358494
 52.0,2022-06-07 12:57:02.858469
 44.0,2022-06-07 12:57:03.358385
 56.0,2022-06-07 12:57:03.858816
 54.0,2022-06-07 12:57:04.358522
 60.0,2022-06-07 12:57:04.858491
 50.0,2022-06-07 12:57:05.358575
 58.0,2022-06-07 12:57:05.858522
 54.0,2022-06-07 12:57:06.358566
 46.0,2022-06-07 12:57:06.858551
 54.0,2022-06-07 12:57:07.358560
 50.1,2022-06-07 12:57:07.877787
 35.4,2022-06-07 12:57:08.358517
 48.0,2022-06-07 12:57:08.858615
 50.0,2022-06-07 12:57:09.358557
 48.0,2022-06-07 12:57:09.858602
 46.0,2022-06-07 12:57:10.358492
 42.0,2022-06-07 12:57:10.858546
 50.0,2022-06-07 12:57:11.358453
 46.0,2022-06-07 12:57:11.858420
 54.0,2022-06-07 12:57:12.358459
 46.0,2022-06-07 12:57:12.858409
 46.0,2022-06-07 12:57:13.358606
 50.0,2022-06-07 12:57:13.858379
 50.0,2022-06-07 12:57:14.358545
 48.0,2022-06-07 12:57:14.858506
 50.0,2022-06-07 12:57:15.358601
 50.0,2022-06-07 12:57:15.858520
 52.0,2022-06-07 12:57:16.358406
 46.0,2022-06-07 12:57:16.858501
 46.0,2022-06-07 12:57:17.358458
 48.3,2022-06-07 12:57:17.875838
 39.4,2022-06-07 12:57:18.358340
 48.0,2022-06-07 12:57:18.858545
 46.0,2022-06-07 12:57:19.358522
 54.1,2022-06-07 12:57:19.858085
 52.0,2022-06-07 12:57:20.358495
 46.0,2022-06-07 12:57:20.858635
 56.0,2022-06-07 12:57:21.358516
 48.0,2022-06-07 12:57:21.858440
 48.0,2022-06-07 12:57:22.358390
 50.0,2022-06-07 12:57:22.858541
 50.0,2022-06-07 12:57:23.358496
 50.0,2022-06-07 12:57:23.858566
 40.0,2022-06-07 12:57:24.358159
 42.0,2022-06-07 12:57:24.858544
 50.0,2022-06-07 12:57:25.358509
 50.0,2022-06-07 12:57:25.858601
 52.0,2022-06-07 12:57:26.358536
 48.0,2022-06-07 12:57:26.858580
 54.0,2022-06-07 12:57:27.358573
 47.2,2022-06-07 12:57:27.867385
 38.7,2022-06-07 12:57:28.358290
 40.0,2022-06-07 12:57:28.858345
 38.0,2022-06-07 12:57:29.358310
 46.0,2022-06-07 12:57:29.858270
 50.0,2022-06-07 12:57:30.358115
 32.0,2022-06-07 12:57:30.858471
 44.0,2022-06-07 12:57:31.358138
 52.0,2022-06-07 12:57:31.858464
 28.0,2022-06-07 12:57:32.358159
 30.0,2022-06-07 12:57:32.858093
 26.0,2022-06-07 12:57:33.358234
 28.0,2022-06-07 12:57:33.858310
 38.0,2022-06-07 12:57:34.358410
 42.0,2022-06-07 12:57:34.858504
 32.0,2022-06-07 12:57:35.358250
 40.0,2022-06-07 12:57:35.858169
 24.0,2022-06-07 12:57:36.358166
 32.0,2022-06-07 12:57:36.858341
 34.0,2022-06-07 12:57:37.358156
 31.1,2022-06-07 12:57:37.872816
 26.8,2022-06-07 12:57:38.358264
 38.0,2022-06-07 12:57:38.858104
 36.0,2022-06-07 12:57:39.358346
 46.0,2022-06-07 12:57:39.858109
 36.0,2022-06-07 12:57:40.358535
 46.0,2022-06-07 12:57:40.858425
 48.0,2022-06-07 12:57:41.358407
 42.0,2022-06-07 12:57:41.858492
 46.0,2022-06-07 12:57:42.358416
 46.0,2022-06-07 12:57:42.858595
 38.0,2022-06-07 12:57:43.358524
 40.0,2022-06-07 12:57:43.858091
 24.0,2022-06-07 12:57:44.358197
 26.0,2022-06-07 12:57:44.858342
 24.0,2022-06-07 12:57:45.358424
 50.0,2022-06-07 12:57:45.858151
 52.0,2022-06-07 12:57:46.358381
 52.0,2022-06-07 12:57:46.858614
 48.0,2022-06-07 12:57:47.358536
 42.2,2022-06-07 12:57:47.879882
 39.7,2022-06-07 12:57:48.358558
 50.0,2022-06-07 12:57:48.858404
 36.0,2022-06-07 12:57:49.358368
 40.0,2022-06-07 12:57:49.858412
 36.0,2022-06-07 12:57:50.358151
 40.0,2022-06-07 12:57:50.858121
 42.0,2022-06-07 12:57:51.358137
 42.0,2022-06-07 12:57:51.858534
 40.0,2022-06-07 12:57:52.358526
 48.0,2022-06-07 12:57:52.858449
 36.0,2022-06-07 12:57:53.358779
 56.1,2022-06-07 12:57:53.858372
 48.0,2022-06-07 12:57:54.358524
 52.0,2022-06-07 12:57:54.858562
 48.0,2022-06-07 12:57:55.358494
 50.0,2022-06-07 12:57:55.858633
 50.0,2022-06-07 12:57:56.358259
 34.0,2022-06-07 12:57:56.858457
 48.0,2022-06-07 12:57:57.358625
 46.0,2022-06-07 12:57:57.858549
 34.0,2022-06-07 12:57:58.358127
 38.0,2022-06-07 12:57:58.858513
 44.0,2022-06-07 12:57:59.358661
 42.0,2022-06-07 12:57:59.858594
 50.0,2022-06-07 12:58:00.358600
 38.0,2022-06-07 12:58:00.858598
 40.0,2022-06-07 12:58:01.358531
 38.0,2022-06-07 12:58:01.858441
 48.0,2022-06-07 12:58:02.358831
 40.0,2022-06-07 12:58:02.858658
 36.0,2022-06-07 12:58:03.358586
 42.0,2022-06-07 12:58:03.858916
 44.1,2022-06-07 12:58:04.358358
 44.0,2022-06-07 12:58:04.858326
 44.0,2022-06-07 12:58:05.358507
 48.0,2022-06-07 12:58:05.858513
 48.0,2022-06-07 12:58:06.358738
 46.0,2022-06-07 12:58:06.858518
 46.0,2022-06-07 12:58:07.358370
 53.4,2022-06-07 12:58:07.882695
 35.7,2022-06-07 12:58:08.358594
 48.0,2022-06-07 12:58:08.858515
 50.0,2022-06-07 12:58:09.358832
 38.0,2022-06-07 12:58:09.858549
 40.0,2022-06-07 12:58:10.358095
 38.0,2022-06-07 12:58:10.858356
 44.0,2022-06-07 12:58:11.358530
 48.0,2022-06-07 12:58:11.858760
 46.0,2022-06-07 12:58:12.358628
 42.0,2022-06-07 12:58:12.858331
 40.0,2022-06-07 12:58:13.358349
 48.0,2022-06-07 12:58:13.858527
 44.0,2022-06-07 12:58:14.358447
 50.0,2022-06-07 12:58:14.858609
