% Usage, time(24h)
 6.0,2022-06-07 11:31:37.360266
 8.0,2022-06-07 11:31:37.860206
 6.0,2022-06-07 11:31:38.359222
 8.0,2022-06-07 11:31:38.860288
 6.0,2022-06-07 11:31:39.360219
 6.0,2022-06-07 11:31:39.860421
 6.0,2022-06-07 11:31:40.360808
 10.0,2022-06-07 11:31:40.860370
 6.0,2022-06-07 11:31:41.360547
 8.0,2022-06-07 11:31:41.860252
 10.0,2022-06-07 11:31:42.360890
 6.0,2022-06-07 11:31:42.860273
 8.0,2022-06-07 11:31:43.361022
 10.0,2022-06-07 11:31:43.860192
 8.0,2022-06-07 11:31:44.360443
 6.0,2022-06-07 11:31:44.860382
 8.0,2022-06-07 11:31:45.360537
 8.0,2022-06-07 11:31:45.860684
 8.0,2022-06-07 11:31:46.360833
 6.0,2022-06-07 11:31:46.861030
 10.0,2022-06-07 11:31:47.360370
 8.0,2022-06-07 11:31:47.860737
 6.0,2022-06-07 11:31:48.358911
 8.0,2022-06-07 11:31:48.860620
 8.0,2022-06-07 11:31:49.361325
 8.0,2022-06-07 11:31:49.860948
 6.0,2022-06-07 11:31:50.360449
 10.0,2022-06-07 11:31:50.860359
 8.0,2022-06-07 11:31:51.360556
 8.0,2022-06-07 11:31:51.860520
 6.0,2022-06-07 11:31:52.360483
 10.0,2022-06-07 11:31:52.860189
 6.0,2022-06-07 11:31:53.360662
 8.0,2022-06-07 11:31:53.860524
 8.0,2022-06-07 11:31:54.360470
 6.0,2022-06-07 11:31:54.860392
 10.0,2022-06-07 11:31:55.360553
 8.0,2022-06-07 11:31:55.860344
 6.0,2022-06-07 11:31:56.360424
 8.0,2022-06-07 11:31:56.860434
 8.0,2022-06-07 11:31:57.360411
 10.0,2022-06-07 11:31:57.860463
 6.0,2022-06-07 11:31:58.359401
 6.0,2022-06-07 11:31:58.860652
 8.0,2022-06-07 11:31:59.360578
 10.0,2022-06-07 11:31:59.860318
 6.0,2022-06-07 11:32:00.360334
 8.0,2022-06-07 11:32:00.860339
 8.0,2022-06-07 11:32:01.360378
 8.0,2022-06-07 11:32:01.860295
 6.0,2022-06-07 11:32:02.360520
 8.0,2022-06-07 11:32:02.860851
 8.0,2022-06-07 11:32:03.360374
 6.0,2022-06-07 11:32:03.859564
 8.0,2022-06-07 11:32:04.360215
 8.0,2022-06-07 11:32:04.860316
 8.0,2022-06-07 11:32:05.360607
 8.0,2022-06-07 11:32:05.860770
 8.0,2022-06-07 11:32:06.360531
 8.0,2022-06-07 11:32:06.860223
 6.0,2022-06-07 11:32:07.360296
 10.0,2022-06-07 11:32:07.860512
 6.0,2022-06-07 11:32:08.358982
 8.0,2022-06-07 11:32:08.860632
 6.0,2022-06-07 11:32:09.360473
 8.0,2022-06-07 11:32:09.860248
 6.0,2022-06-07 11:32:10.360235
 8.0,2022-06-07 11:32:10.860588
 6.0,2022-06-07 11:32:11.361043
 8.0,2022-06-07 11:32:11.860659
 10.0,2022-06-07 11:32:12.360585
 6.0,2022-06-07 11:32:12.860696
 12.0,2022-06-07 11:32:13.359040
 2.0,2022-06-07 11:32:13.859091
 6.0,2022-06-07 11:32:14.359113
 2.0,2022-06-07 11:32:14.859017
 4.0,2022-06-07 11:32:15.358978
 4.0,2022-06-07 11:32:15.859020
 4.0,2022-06-07 11:32:16.358859
 4.0,2022-06-07 11:32:16.858945
