% Usage, time(24h)
 10.0,2022-06-07 11:05:37.358828
 10.0,2022-06-07 11:05:37.858558
 6.0,2022-06-07 11:05:38.358534
 10.0,2022-06-07 11:05:38.858549
 10.0,2022-06-07 11:05:39.358846
 8.0,2022-06-07 11:05:39.858816
 10.0,2022-06-07 11:05:40.358479
 8.0,2022-06-07 11:05:40.858845
 10.0,2022-06-07 11:05:41.358856
 8.0,2022-06-07 11:05:41.858493
 10.0,2022-06-07 11:05:42.358438
 8.0,2022-06-07 11:05:42.858447
 8.0,2022-06-07 11:05:43.358878
 6.0,2022-06-07 11:05:43.858468
 10.0,2022-06-07 11:05:44.358448
 10.0,2022-06-07 11:05:44.858527
 8.0,2022-06-07 11:05:45.358354
 14.0,2022-06-07 11:05:45.858479
 6.0,2022-06-07 11:05:46.358305
 10.0,2022-06-07 11:05:46.858329
 10.0,2022-06-07 11:05:47.358303
 8.0,2022-06-07 11:05:47.858548
 8.0,2022-06-07 11:05:48.358484
 4.0,2022-06-07 11:05:48.858448
 6.0,2022-06-07 11:05:49.358385
 16.0,2022-06-07 11:05:49.858419
 8.0,2022-06-07 11:05:50.358546
 14.0,2022-06-07 11:05:50.858473
 8.0,2022-06-07 11:05:51.358548
 8.0,2022-06-07 11:05:51.858513
 8.0,2022-06-07 11:05:52.358324
 4.0,2022-06-07 11:05:52.858137
 6.0,2022-06-07 11:05:53.358147
 4.0,2022-06-07 11:05:53.858107
 4.0,2022-06-07 11:05:54.358125
 4.0,2022-06-07 11:05:54.858300
 6.0,2022-06-07 11:05:55.358139
 8.0,2022-06-07 11:05:55.858095
 4.0,2022-06-07 11:05:56.358171
 6.0,2022-06-07 11:05:56.858198
 6.0,2022-06-07 11:05:57.358229
 6.0,2022-06-07 11:05:57.858136
 6.0,2022-06-07 11:05:58.358466
 6.0,2022-06-07 11:05:58.858231
 6.0,2022-06-07 11:05:59.358146
 6.0,2022-06-07 11:05:59.858172
 4.0,2022-06-07 11:06:00.358259
 6.0,2022-06-07 11:06:00.858193
 8.0,2022-06-07 11:06:01.358190
 4.0,2022-06-07 11:06:01.858215
